transit_timestamp,bus_route,ridership,transfers
08/03/2021 01:00:00 PM,BX12+,1010,223
04/14/2021 12:00:00 AM,BX12+,0,0
07/22/2022 04:00:00 PM,BX12+,1120,208
09/19/2020 03:00:00 PM,BX12+,979,165
12/26/2024 12:00:00 PM,BX12+,558,140
03/25/2022 01:00:00 PM,BX12+,1045,186
06/25/2022 07:00:00 PM,BX12+,622,86
09/14/2022 04:00:00 AM,BX12+,0,0
12/06/2023 03:00:00 AM,BX12+,0,0
04/15/2024 11:00:00 PM,BX12+,10,1
01/16/2024 01:00:00 PM,BX12+,430,75
10/15/2020 01:00:00 AM,BX12+,0,0
01/06/2022 11:00:00 PM,BX12+,0,0
09/25/2020 11:00:00 PM,BX12+,37,7
05/15/2023 05:00:00 PM,BX12+,1120,207
08/23/2024 05:00:00 PM,BX12+,619,109
10/02/2021 01:00:00 AM,BX12+,1,0
06/17/2024 11:00:00 PM,BX12+,13,1
01/14/2024 03:00:00 PM,BX12+,449,88
09/05/2021 10:00:00 AM,BX12+,590,90
11/25/2021 02:00:00 PM,BX12+,642,106
01/24/2023 05:00:00 PM,BX12+,1255,260
12/31/2023 10:00:00 PM,BX12+,39,5
08/16/2024 07:00:00 PM,BX12+,329,66
10/30/2024 03:00:00 PM,BX12+,873,106
12/05/2024 06:00:00 AM,BX12+,582,79
12/06/2023 09:00:00 PM,BX12+,146,26
10/24/2023 12:00:00 AM,BX12+,1,1
06/08/2022 03:00:00 AM,BX12+,0,0
05/29/2021 08:00:00 PM,BX12+,382,52
05/19/2024 10:00:00 PM,BX12+,64,13
02/25/2021 05:00:00 AM,BX12+,150,21
11/23/2023 11:00:00 PM,BX12+,11,2
08/29/2022 01:00:00 PM,BX12+,907,184
04/23/2023 11:00:00 PM,BX12+,11,1
12/18/2021 02:00:00 PM,BX12+,962,149
05/02/2024 02:00:00 AM,BX12+,0,0
07/17/2023 04:00:00 PM,BX12+,943,155
10/15/2021 02:00:00 AM,BX12+,0,0
06/28/2023 08:00:00 PM,BX12+,412,80
03/02/2023 06:00:00 PM,BX12+,808,141
09/20/2022 09:00:00 AM,BX12+,1069,217
01/12/2021 08:00:00 PM,BX12+,355,59
11/19/2022 10:00:00 PM,BX12+,142,26
02/23/2022 02:00:00 PM,BX12+,989,189
06/14/2024 01:00:00 PM,BX12+,682,138
09/10/2020 09:00:00 AM,BX12+,685,163
11/13/2022 10:00:00 PM,BX12+,80,11
04/21/2023 05:00:00 PM,BX12+,1161,226
06/30/2024 11:00:00 PM,BX12+,8,1
06/07/2022 07:00:00 PM,BX12+,617,122
03/11/2023 09:00:00 AM,BX12+,584,110
01/19/2022 11:00:00 AM,BX12+,738,154
10/08/2022 01:00:00 PM,BX12+,848,137
03/05/2023 04:00:00 PM,BX12+,712,83
05/19/2023 11:00:00 AM,BX12+,699,147
04/18/2022 08:00:00 AM,BX12+,1319,262
01/01/2024 02:00:00 PM,BX12+,373,66
02/10/2023 06:00:00 AM,BX12+,967,138
09/13/2023 01:00:00 AM,BX12+,0,0
10/20/2024 07:00:00 PM,BX12+,261,41
09/03/2023 01:00:00 PM,BX12+,704,121
08/03/2021 05:00:00 PM,BX12+,1346,273
01/09/2021 02:00:00 AM,BX12+,0,0
10/18/2024 03:00:00 AM,BX12+,0,0
05/03/2022 12:00:00 PM,BX12+,946,203
10/05/2020 03:00:00 AM,BX12+,0,0
01/13/2023 07:00:00 PM,BX12+,516,95
04/21/2022 08:00:00 PM,BX12+,415,55
10/20/2020 09:00:00 PM,BX12+,284,38
05/10/2021 09:00:00 PM,BX12+,281,46
05/04/2021 02:00:00 PM,BX12+,1317,229
11/21/2023 12:00:00 PM,BX12+,642,115
08/03/2022 01:00:00 AM,BX12+,0,0
03/10/2022 01:00:00 PM,BX12+,958,199
04/02/2022 11:00:00 PM,BX12+,42,5
08/13/2022 06:00:00 AM,BX12+,271,41
12/06/2023 11:00:00 AM,BX12+,646,126
02/18/2023 06:00:00 AM,BX12+,296,36
06/24/2024 08:00:00 PM,BX12+,267,35
07/23/2023 07:00:00 AM,BX12+,364,54
10/16/2020 01:00:00 AM,BX12+,1,0
03/08/2024 08:00:00 PM,BX12+,276,36
09/17/2023 11:00:00 PM,BX12+,10,4
11/04/2020 06:00:00 PM,BX12+,794,137
11/22/2022 11:00:00 AM,BX12+,764,181
04/03/2021 04:00:00 AM,BX12+,0,0
08/02/2021 09:00:00 AM,BX12+,1060,231
08/18/2022 10:00:00 PM,BX12+,139,32
