transit_timestamp,bus_route,ridership,transfers
08/15/2025 06:00:00 PM,BX12+,1333,298
03/11/2025 03:00:00 AM,BX12+,0,0
07/12/2025 08:00:00 PM,BX12+,770,156
06/16/2025 06:00:00 AM,BX12+,1963,336
06/15/2025 11:00:00 AM,BX12+,910,200
03/29/2025 03:00:00 PM,BX12+,903,171
02/28/2025 09:00:00 AM,BX12+,843,190
04/19/2025 04:00:00 PM,BX12+,690,138
01/27/2025 06:00:00 PM,BX12+,0,0
05/05/2025 01:00:00 AM,BX12+,0,0
02/11/2025 05:00:00 PM,BX12+,1025,225
06/15/2025 10:00:00 AM,BX12+,856,196
01/02/2025 02:00:00 AM,BX12+,1,0
05/03/2025 01:00:00 PM,BX12+,1409,263
08/11/2025 12:00:00 PM,BX12+,1620,424
06/20/2025 09:00:00 AM,BX12+,1916,482
05/09/2025 03:00:00 PM,BX12+,1841,335
06/09/2025 04:00:00 PM,BX12+,2233,498
03/04/2025 06:00:00 AM,BX12+,896,154
08/04/2025 08:00:00 PM,BX12+,653,154
03/05/2025 11:00:00 PM,BX12+,6,1
08/28/2025 06:00:00 PM,BX12+,666,164
02/10/2025 11:00:00 AM,BX12+,670,170
05/23/2025 10:00:00 AM,BX12+,1432,403
01/08/2025 05:00:00 AM,BX12+,115,15
08/28/2025 05:00:00 PM,BX12+,1110,291
08/19/2025 05:00:00 AM,BX12+,312,44
04/13/2025 08:00:00 AM,BX12+,364,81
06/04/2025 01:00:00 PM,BX12+,1720,395
07/02/2025 06:00:00 AM,BX12+,1833,348
07/17/2025 10:00:00 AM,BX12+,1519,389
08/03/2025 06:00:00 AM,BX12+,314,60
04/26/2025 12:00:00 PM,BX12+,672,145
03/18/2025 02:00:00 PM,BX12+,1150,240
07/06/2025 07:00:00 PM,BX12+,591,115
06/28/2025 04:00:00 PM,BX12+,1536,311
05/12/2025 09:00:00 PM,BX12+,418,50
08/26/2025 03:00:00 PM,BX12+,1144,302
03/01/2025 05:00:00 PM,BX12+,620,117
05/17/2025 12:00:00 PM,BX12+,1419,222
03/24/2025 02:00:00 PM,BX12+,756,158
06/16/2025 02:00:00 AM,BX12+,0,0
01/27/2025 05:00:00 AM,BX12+,0,0
04/08/2025 01:00:00 PM,BX12+,985,199
06/29/2025 11:00:00 PM,BX12+,38,12
05/11/2025 01:00:00 PM,BX12+,1201,220
01/05/2025 02:00:00 AM,BX12+,0,0
01/21/2025 10:00:00 AM,BX12+,463,111
04/13/2025 07:00:00 AM,BX12+,270,48
07/10/2025 06:00:00 AM,BX12+,1887,325
07/08/2025 03:00:00 PM,BX12+,1867,388
05/16/2025 04:00:00 AM,BX12+,0,0
01/18/2025 09:00:00 AM,BX12+,425,75
06/21/2025 10:00:00 PM,BX12+,244,42
05/20/2025 10:00:00 PM,BX12+,194,65
01/05/2025 01:00:00 PM,BX12+,372,61
02/04/2025 06:00:00 PM,BX12+,0,0
04/28/2025 03:00:00 PM,BX12+,1057,213
04/20/2025 05:00:00 AM,BX12+,8,2
02/07/2025 04:00:00 AM,BX12+,0,0
02/19/2025 07:00:00 PM,BX12+,342,80
02/22/2025 06:00:00 PM,BX12+,479,88
03/18/2025 01:00:00 AM,BX12+,0,0
06/29/2025 01:00:00 AM,BX12+,2,0
07/16/2025 10:00:00 PM,BX12+,120,24
04/27/2025 10:00:00 PM,BX12+,60,7
08/24/2025 06:00:00 AM,BX12+,215,32
07/28/2025 08:00:00 PM,BX12+,638,162
05/07/2025 03:00:00 PM,BX12+,2458,451
